,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NBA 2K League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Season 1 Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Season Totals,,,,,,,,,,,,,,,,,,,,,,,,,,Per Game Stats,,,,,,,,,,,,,,,,,,,,,,,
,,Team,Gamertag,Event,GP,PTS,AST,TO,AST/TO,STL,BLK,REB,OREB,DREB,FGA,FGM,FG%,eFG%,2FGA,2FGM,2FG%,3FGA,3FGM,3FG%,FTA,FTM,FT%,PF TKN,PF,,PPG,APG,TO PG,AST/TO,STL PG,BLK PG,RPG,OREB PG,DREB PG,FGA PG,FGM PG,FG%,eFG%,2FGA PG,2FGM PG,2FG%,3FGA PG,3FGM PG,3FG%,FTA PG,FTM PG,FT%,PF TKN PG,PF PG
,,Wizards District Gaming,BooPainter,Playoffs,1 ,45 ,2 ,1 ,2.0 ,1 ,– ,6 ,3 ,3 ,30 ,21 ,70% ,70% ,30 ,21 ,70% ,– ,– ,-,5 ,3 ,60% ,5 ,5 ,,45.0 ,2.0 ,1.0 ,2.0 ,1.0 ,– ,6.0 ,3.0 ,3.0 ,30.0 ,21.0 ,70% ,70% ,30.0 ,21.0 ,70% ,– ,– ,-,5.0 ,3.0 ,60% ,5.0 ,5.0 
,,Wizards District Gaming,BooPainter,Mid-Season Tournament 2,2 ,74 ,13 ,9 ,1.4 ,4 ,– ,11 ,3 ,8 ,52 ,35 ,67% ,67% ,51 ,35 ,69% ,1 ,– ,– ,8 ,4 ,50% ,14 ,7 ,,37.0 ,6.5 ,4.5 ,1.4 ,2.0 ,– ,5.5 ,1.5 ,4.0 ,26.0 ,17.5 ,67% ,67% ,25.5 ,17.5 ,69% ,0.5 ,– ,– ,4.0 ,2.0 ,50% ,7.0 ,3.5 
,,Wizards District Gaming,BooPainter,Mid-Season Tournament 1,2 ,73 ,5 ,3 ,1.7 ,2 ,4 ,19 ,7 ,12 ,43 ,31 ,72% ,73% ,41 ,30 ,73% ,2 ,1 ,50% ,10 ,10 ,100% ,10 ,7 ,,36.5 ,2.5 ,1.5 ,1.7 ,1.0 ,2.0 ,9.5 ,3.5 ,6.0 ,21.5 ,15.5 ,72% ,73% ,20.5 ,15.0 ,73% ,1.0 ,0.5 ,50% ,5.0 ,5.0 ,100% ,5.0 ,3.5 
,,Warriors Gaming Squad,Bsmoove,Tip Off,4 ,49 ,11 ,11 ,1.0 ,3 ,– ,10 ,3 ,7 ,32 ,21 ,66% ,69% ,28 ,19 ,68% ,4 ,2 ,50% ,5 ,5 ,100% ,12 ,12 ,,12.3 ,2.8 ,2.8 ,1.0 ,0.8 ,– ,2.5 ,0.8 ,1.8 ,8.0 ,5.3 ,66% ,69% ,7.0 ,4.8 ,68% ,1.0 ,0.5 ,50% ,1.3 ,1.3 ,100% ,3.0 ,3.0 
,,Warriors Gaming Squad,Bsmoove,Regular Season,13 ,169 ,66 ,24 ,2.8 ,12 ,3 ,24 ,2 ,22 ,127 ,69 ,54% ,65% ,71 ,42 ,59% ,56 ,27 ,48% ,5 ,4 ,80% ,20 ,23 ,,13.0 ,5.1 ,1.8 ,2.8 ,0.9 ,0.2 ,1.8 ,0.2 ,1.7 ,9.8 ,5.3 ,54% ,65% ,5.5 ,3.2 ,59% ,4.3 ,2.1 ,48% ,0.4 ,0.3 ,80% ,1.5 ,1.8 
,,Warriors Gaming Squad,Bsmoove,Mid-Season Tournament 2,1 ,6 ,4 ,4 ,1.0 ,– ,– ,6 ,1 ,5 ,6 ,3 ,50% ,50% ,3 ,3 ,100% ,3 ,– ,– ,– ,– ,-,2 ,1 ,,6.0 ,4.0 ,4.0 ,1.0 ,– ,– ,6.0 ,1.0 ,5.0 ,6.0 ,3.0 ,50% ,50% ,3.0 ,3.0 ,100% ,3.0 ,– ,– ,– ,– ,-,2.0 ,1.0 
,,Warriors Gaming Squad,Bsmoove,Mid-Season Tournament 1,2 ,15 ,3 ,4 ,0.8 ,2 ,– ,– ,– ,– ,11 ,6 ,55% ,64% ,6 ,4 ,67% ,5 ,2 ,40% ,2 ,1 ,50% ,3 ,3 ,,7.5 ,1.5 ,2.0 ,0.8 ,1.0 ,– ,– ,– ,– ,5.5 ,3.0 ,55% ,64% ,3.0 ,2.0 ,67% ,2.5 ,1.0 ,40% ,1.0 ,0.5 ,50% ,1.5 ,1.5 
,,Kings Guard Gaming,Coleworld2k,Regular Season,10 ,93 ,18 ,15 ,1.2 ,9 ,5 ,28 ,3 ,25 ,64 ,36 ,56% ,71% ,24 ,17 ,71% ,40 ,19 ,48% ,2 ,2 ,100% ,4 ,9 ,,9.3 ,1.8 ,1.5 ,1.2 ,0.9 ,0.5 ,2.8 ,0.3 ,2.5 ,6.4 ,3.6 ,56% ,71% ,2.4 ,1.7 ,71% ,4.0 ,1.9 ,48% ,0.2 ,0.2 ,100% ,0.4 ,0.9 
,,Kings Guard Gaming,Coleworld2k,Mid-Season Tournament 2,3 ,20 ,2 ,– ,– ,– ,– ,8 ,1 ,7 ,14 ,7 ,50% ,71% ,2 ,1 ,50% ,12 ,6 ,50% ,– ,– ,-,– ,3 ,,6.7 ,0.7 ,– ,– ,– ,– ,2.7 ,0.3 ,2.3 ,4.7 ,2.3 ,50% ,71% ,0.7 ,0.3 ,50% ,4.0 ,2.0 ,50% ,– ,– ,-,– ,1.0 
,,Kings Guard Gaming,Coleworld2k,Mid-Season Tournament 1,1 ,12 ,2 ,– ,– ,2 ,– ,1 ,– ,1 ,8 ,4 ,50% ,75% ,1 ,– ,– ,7 ,4 ,57% ,– ,– ,-,1 ,1 ,,12.0 ,2.0 ,– ,– ,2.0 ,– ,1.0 ,– ,1.0 ,8.0 ,4.0 ,50% ,75% ,1.0 ,– ,– ,7.0 ,4.0 ,57% ,– ,– ,-,1.0 ,1.0 
,,Kings Guard Gaming,Cowboyxcollazo,Tip Off,3 ,27 ,4 ,– ,– ,1 ,– ,2 ,– ,2 ,18 ,9 ,50% ,64% ,5 ,4 ,80% ,13 ,5 ,39% ,4 ,4 ,100% ,4 ,2 ,,9.0 ,1.3 ,– ,– ,0.3 ,– ,0.7 ,– ,0.7 ,6.0 ,3.0 ,50% ,64% ,1.7 ,1.3 ,80% ,4.3 ,1.7 ,39% ,1.3 ,1.3 ,100% ,1.3 ,0.7 
,,Kings Guard Gaming,Cowboyxcollazo,Regular Season,4 ,78 ,15 ,3 ,5.0 ,2 ,1 ,8 ,5 ,3 ,56 ,32 ,57% ,62% ,45 ,27 ,60% ,11 ,5 ,45% ,9 ,9 ,100% ,11 ,1 ,,19.5 ,3.8 ,0.8 ,5.0 ,0.5 ,0.3 ,2.0 ,1.3 ,0.8 ,14.0 ,8.0 ,57% ,62% ,11.3 ,6.8 ,60% ,2.8 ,1.3 ,45% ,2.3 ,2.3 ,100% ,2.8 ,0.3 
,,Blazers Gaming,DatBoyShotz,Tip Off,6 ,131 ,17 ,10 ,1.7 ,8 ,3 ,51 ,18 ,33 ,98 ,62 ,63% ,63% ,95 ,62 ,65% ,3 ,– ,– ,7 ,7 ,100% ,9 ,11 ,,21.8 ,2.8 ,1.7 ,1.7 ,1.3 ,0.5 ,8.5 ,3.0 ,5.5 ,16.3 ,10.3 ,63% ,63% ,15.8 ,10.3 ,65% ,0.5 ,– ,– ,1.2 ,1.2 ,100% ,1.5 ,1.8 
,,Blazers Gaming,DatBoyShotz,Regular Season,14 ,245 ,46 ,26 ,1.8 ,23 ,15 ,94 ,34 ,60 ,175 ,99 ,57% ,60% ,151 ,87 ,58% ,24 ,12 ,50% ,37 ,35 ,95% ,33 ,29 ,,17.5 ,3.3 ,1.9 ,1.8 ,1.6 ,1.1 ,6.7 ,2.4 ,4.3 ,12.5 ,7.1 ,57% ,60% ,10.8 ,6.2 ,58% ,1.7 ,0.9 ,50% ,2.6 ,2.5 ,95% ,2.4 ,2.1 
,,Blazers Gaming,DatBoyShotz,Playoffs,1 ,18 ,1 ,1 ,1.0 ,2 ,– ,2 ,– ,2 ,14 ,8 ,57% ,64% ,10 ,6 ,60% ,4 ,2 ,50% ,1 ,– ,– ,4 ,1 ,,18.0 ,1.0 ,1.0 ,1.0 ,2.0 ,– ,2.0 ,– ,2.0 ,14.0 ,8.0 ,57% ,64% ,10.0 ,6.0 ,60% ,4.0 ,2.0 ,50% ,1.0 ,– ,– ,4.0 ,1.0 
